Name,Equat,Polar,BlueF,GreenF,RedF,Size,RadialVelocity
BackDG0192,42.1276,124.3325,1.172e-17,9.432e-18,4.88e-18,54.3371,-1576.58
BackDG0193,42.1468,124.5435,1.058e-17,9.071e-18,3.881e-18,41.5193,-1576.48
BackDG0194,42.1286,124.4181,1.132e-17,9.183e-18,3.952e-18,66.2268,-1576.62
BackDG0195,42.2394,124.6145,6.952e-18,6.4e-18,3.016e-18,53.4351,-1576.82
BackDG0196,42.1968,124.1913,1.604e-17,1.235e-17,4.986e-18,53.1985,-1576.37
BackDG0197,42.1385,124.2209,1.05e-17,9.346e-18,4.004e-18,39.2938,-1576.56
BackDG0198,42.2702,124.5352,1.144e-17,9.927e-18,4.526e-18,45.32,-1576.48
BackDG0199,329.0437,113.2818,4.357e-17,3.666e-17,1.218e-17,134.4327,-1337.74
BackDG0200,329.0618,113.2983,1.477e-17,1.322e-17,5.93e-18,48.9533,-1337.7
BackDG0201,329.0244,113.4156,1.744e-17,1.338e-17,5.665e-18,63.2807,-1337.88
BackDG0202,328.9634,113.3997,1.568e-17,1.333e-17,5.937e-18,56.6419,-1338.06
BackDG0203,328.8828,113.1634,1.51e-17,1.433e-17,6.233e-18,74.1574,-1337.97
BackDG0204,329.0076,113.381,2.017e-17,1.868e-17,7.333e-18,62.4337,-1337.64
BackDG0205,329.1229,113.2729,1.648e-17,1.348e-17,5.714e-18,46.5539,-1337.76
BackDG0206,328.9472,113.1893,1.459e-17,1.234e-17,5.618e-18,42.7084,-1338.0
BackDG0207,328.8635,113.3328,1.163e-17,9.166e-18,4.39e-18,66.9296,-1338.05
BackDG0208,328.9422,113.1425,1.567e-17,1.324e-17,5.781e-18,53.8722,-1337.89
BackDG0230,34.5908,66.9858,7.609e-18,5.687e-18,2.827e-18,61.2069,-1597.23
BackDG0231,34.57,67.0242,1.093e-17,8.615e-18,4.409e-18,58.578,-1597.3
BackDG0232,34.5597,66.9075,1.025e-17,9.067e-18,4.589e-18,45.3302,-1597.52
BackDG0233,34.6865,66.9605,9.786e-18,8.225e-18,4.005e-18,48.0905,-1597.23
BackDG0234,34.6378,66.876,9.837e-18,8.661e-18,3.553e-18,44.5037,-1597.16
BackDG0240,9.3318,93.3684,1.323e-17,1.17e-17,5.094e-18,54.1174,-1371.48
BackDG0241,9.419,93.3836,2.272e-17,1.662e-17,7.02e-18,56.7879,-1371.38
BackDG0242,9.284,93.3625,1.444e-17,1.277e-17,5.66e-18,56.0627,-1371.6
BackDG0247,317.7417,79.4743,7.444e-18,6.836e-18,3.284e-18,130.8437,-1431.06
BackDG0248,317.6605,79.3135,1.412e-17,1.192e-17,5.37e-18,52.7575,-1430.8
BackDG0249,317.6236,79.4719,1.185e-17,1.049e-17,4.93e-18,46.9904,-1430.6
BackDG0250,317.841,79.3791,1.283e-17,1.118e-17,5.067e-18,76.7215,-1430.82
BackDG0251,317.7655,79.5639,1.304e-17,9.968e-18,5.071e-18,49.2444,-1430.64
BackDG0252,317.8486,79.3267,1.23e-17,1.055e-17,5.135e-18,68.3192,-1430.81
BackDG0253,317.6161,79.4969,1.233e-17,9.955e-18,4.673e-18,42.5182,-1430.98
BackDG0254,317.9361,79.423,1.272e-17,1.043e-17,4.736e-18,48.5834,-1430.81
BackDG0255,317.7388,79.6036,9.981e-18,7.584e-18,3.18e-18,47.9986,-1430.66
BackDG0321,4.9961,58.6881,3.145e-17,2.27e-17,8.89e-18,102.3689,-1522.0
BackDG0322,4.9098,58.837,8.495e-18,6.406e-18,3.007e-18,45.6781,-1522.03
BackDG0323,4.8533,58.6212,1.192e-17,8.542e-18,3.948e-18,48.7532,-1521.87
BackDG0324,4.9918,58.7965,1.072e-17,8.618e-18,4.238e-18,46.1492,-1521.87
BackDG0325,5.1078,58.8974,1.196e-17,9.693e-18,4.694e-18,44.0204,-1521.69
BackDG0326,4.7324,58.5479,1.219e-17,8.579e-18,4.004e-18,42.1859,-1522.02
BackDG0327,5.1945,58.6748,1.273e-17,9.731e-18,4.04e-18,48.3182,-1521.86
BackDG0328,5.0671,58.7312,1.028e-17,1.006e-17,4.447e-18,38.4789,-1521.77
BackDG0329,4.9304,58.6576,1.052e-17,9.519e-18,4.276e-18,42.7955,-1522.0
BackDG0330,5.0422,58.8546,1.062e-17,8.614e-18,4.057e-18,40.8961,-1521.6
BackDG0331,5.1727,58.5661,1.204e-17,1.102e-17,4.723e-18,52.2046,-1522.02
BackDG0332,4.8138,58.5923,1.065e-17,9.02e-18,4.184e-18,45.4009,-1522.18
BackDG0333,29.2781,89.1726,5.89e-17,4.738e-17,1.494e-17,193.051,-1092.03
BackDG0334,29.6816,89.212,2.14e-17,1.934e-17,8.491e-18,82.1411,-1092.42
BackDG0335,29.3808,89.0657,1.405e-17,1.159e-17,5.324e-18,75.8026,-1092.24
BackDG0336,29.3635,89.3745,1.721e-17,1.322e-17,6.24e-18,118.447,-1092.62
BackDG0337,29.3437,89.1772,1.937e-17,1.738e-17,8.009e-18,66.6718,-1092.38
BackDG0338,29.246,89.2329,2.775e-17,2.381e-17,8.321e-18,62.3611,-1092.24
BackDG0339,29.1185,89.2015,1.694e-17,1.32e-17,5.961e-18,117.2908,-1092.74
BackDG0340,29.5329,89.0685,1.871e-17,1.666e-17,7.287e-18,62.2712,-1092.43
BackDG0341,29.5554,89.2702,2.127e-17,1.958e-17,8.623e-18,74.7585,-1092.54
BackDG0342,29.2597,89.535,2.155e-17,1.888e-17,8.04e-18,70.4411,-1092.36
BackDG0343,29.2078,89.5026,2.03e-17,1.641e-17,7.229e-18,58.8096,-1092.4
BackDG0344,29.4993,89.0844,2.212e-17,1.75e-17,8.113e-18,69.9204,-1092.38
BackDG0345,29.3273,89.2514,2.167e-17,1.874e-17,7.477e-18,66.1748,-1092.5
BackDG0346,29.4538,89.2743,1.467e-17,1.139e-17,5.915e-18,100.0925,-1092.48
BackDG0347,29.4141,89.135,2.032e-17,1.647e-17,7.885e-18,60.6358,-1092.46
BackDG0348,29.5403,89.1471,2.107e-17,1.83e-17,8.237e-18,67.7207,-1092.02
BackDG0349,29.4299,89.2195,2.182e-17,1.782e-17,8.514e-18,68.8771,-1092.1
BackDG0350,29.4237,88.7655,3.083e-17,2.221e-17,9.165e-18,60.1874,-1092.21
BackDG0362,315.9897,74.0827,2.243e-17,1.754e-17,6.731e-18,122.7888,-1842.27
BackDG0363,315.8208,74.3649,9.228e-18,7.271e-18,3.555e-18,39.11,-1842.23
BackDG0364,315.8025,73.8926,1.284e-17,1.023e-17,4.23e-18,36.1664,-1842.17
BackDG0365,316.0781,74.0098,7.928e-18,6.638e-18,3.118e-18,36.0236,-1842.48
BackDG0366,316.2547,74.3254,5.87e-18,4.531e-18,2.348e-18,36.5301,-1842.22
BackDG0367,316.4558,74.0837,5.798e-18,4.969e-18,2.282e-18,46.5032,-1842.09
BackDG0368,316.242,74.0668,5.348e-18,4.552e-18,2.095e-18,48.9583,-1842.35
BackDG0369,316.3218,74.1278,9.175e-18,7.324e-18,3.327e-18,42.0319,-1842.0
BackDG0370,316.3599,73.8658,6.097e-18,5.141e-18,2.308e-18,40.9239,-1841.79
BackDG0371,315.8452,74.3794,8.999e-18,6.85e-18,3.595e-18,45.1791,-1842.26
BackDG0372,316.4179,74.2853,8.606e-18,6.944e-18,3.474e-18,45.6855,-1842.13
BackDG0373,316.1816,73.7622,8.251e-18,6.739e-18,3.358e-18,44.3011,-1842.15
BackDG0374,315.7376,74.2819,7.538e-18,7.08e-18,3.083e-18,39.4735,-1842.33
BackDG0375,315.8697,74.1776,5.236e-18,5.02e-18,2.325e-18,58.227,-1842.21
BackDG0376,316.2385,74.1836,7.685e-18,6.298e-18,3.265e-18,34.8595,-1842.51
BackDG0377,316.1058,74.0332,8.519e-18,6.741e-18,2.818e-18,37.5116,-1842.2
BackDG0378,316.1342,74.3709,9.269e-18,6.714e-18,3.498e-18,45.9624,-1842.1
BackDG0379,315.8669,73.8803,9.329e-18,7.522e-18,3.647e-18,47.006,-1842.2
BackDG0380,316.3901,74.2919,8.884e-18,7.699e-18,3.49e-18,39.9739,-1842.08
BackDG0381,315.7379,74.1908,8.954e-18,7.24e-18,3.671e-18,45.4191,-1842.49
BackDG0382,316.0409,74.3345,8.475e-18,7.355e-18,3.523e-18,40.3777,-1842.42
BackDG0383,315.7696,74.3587,1.308e-17,9.356e-18,4.302e-18,45.1256,-1842.25
BackDG0384,316.1965,73.8366,9.142e-18,7.398e-18,3.602e-18,44.3953,-1842.19
BackDG0385,316.1232,74.1607,8.8e-18,6.836e-18,3.38e-18,46.8862,-1842.06
BackDG0386,316.4344,74.1408,7.759e-18,7.494e-18,3.542e-18,47.1154,-1841.99
BackDG0387,315.9178,73.876,7.751e-18,7.154e-18,3.305e-18,38.624,-1842.03
BackDG0388,315.7859,74.1981,7.908e-18,7.44e-18,2.952e-18,33.5977,-1842.05
BackDG0470,32.4095,84.0254,9.96e-18,8.693e-18,4.006e-18,97.4082,-1449.83
BackDG0471,32.4491,84.0036,9.799e-18,7.811e-18,3.248e-18,49.2418,-1449.81
BackDG0472,32.3125,83.976,1.277e-17,1.056e-17,4.553e-18,43.4681,-1449.56
BackDG0473,32.249,84.0152,1.252e-17,1.114e-17,5.014e-18,50.0912,-1450.05
BackDG0474,32.5499,84.043,1.227e-17,9.486e-18,4.905e-18,45.775,-1449.95
BackDG0475,32.3558,83.9068,9.651e-18,7.517e-18,3.542e-18,53.9127,-1449.66
BackDG0571,20.0961,85.538,3.733e-17,2.874e-17,1.122e-17,156.693,-1350.53
BackDG0572,19.9675,85.5557,1.425e-17,1.054e-17,4.479e-18,42.2127,-1350.45
BackDG0573,20.1937,85.5436,1.314e-17,1.067e-17,4.751e-18,48.5911,-1350.4
BackDG0574,20.1562,85.5604,1.42e-17,1.279e-17,5.693e-18,52.2802,-1350.09
BackDG0575,19.7798,85.6489,1.88e-17,1.6e-17,6.801e-18,52.0014,-1350.64
BackDG0576,20.1706,85.4686,2.102e-17,1.61e-17,5.877e-18,55.5104,-1350.57
BackDG0577,20.2214,85.3577,1.308e-17,1.093e-17,5.119e-18,56.9797,-1350.5
BackDG0578,20.1159,85.7216,9.824e-18,7.871e-18,3.54e-18,58.2822,-1350.77
BackDG0579,20.136,85.7223,1.026e-17,8.751e-18,3.877e-18,80.7229,-1350.72
BackDG0580,20.1635,85.5992,1.382e-17,1.08e-17,4.636e-18,45.5208,-1350.26
BackDG0581,20.2149,85.7633,1.36e-17,1.21e-17,5.589e-18,64.3559,-1350.71
BackDG0582,19.9392,85.7209,1.302e-17,9.86e-18,5.254e-18,51.5916,-1350.39
BackDG0583,20.0328,85.6148,1.273e-17,1.097e-17,5.387e-18,53.04,-1350.68
BackDG0584,19.9284,85.4561,1.034e-17,8.066e-18,3.757e-18,62.0444,-1350.13
BackDG0585,20.1566,85.7183,1.437e-17,1.066e-17,4.926e-18,38.0162,-1350.13
BackDG0586,20.3931,85.5082,1.09e-17,7.998e-18,3.978e-18,60.5785,-1350.61
BackDG0602,17.5745,60.194,5.629e-18,4.888e-18,2.289e-18,76.0405,-1823.37
BackDG0603,17.4409,60.1952,8.989e-18,6.92e-18,3.629e-18,47.5761,-1823.07
BackDG0604,17.6504,60.205,7.964e-18,6.92e-18,3.363e-18,39.8113,-1823.24
BackDG0605,17.554,60.2474,7.829e-18,6.859e-18,3.133e-18,38.0047,-1823.61
BackDG0606,17.6809,60.144,1.19e-17,9.963e-18,4.478e-18,39.3819,-1823.53
BackDG0607,17.6253,60.2855,7.901e-18,6.593e-18,3.209e-18,38.6879,-1823.44
BackDG0608,17.7086,60.2118,9.204e-18,7.275e-18,3.352e-18,52.8783,-1823.01
BackDG0609,17.5941,60.3204,8.54e-18,7.08e-18,3.174e-18,42.9008,-1823.03
BackDG0610,17.4348,60.214,8.028e-18,6.651e-18,3.345e-18,37.7836,-1823.44
BackDG0634,42.9365,119.1266,2.976e-17,2.306e-17,7.729e-18,127.8351,-1629.24
BackDG0635,42.9752,119.2093,8.743e-18,6.528e-18,3.407e-18,81.6973,-1629.33
BackDG0636,43.0368,119.0786,1.075e-17,7.729e-18,3.959e-18,43.7107,-1629.33
BackDG0637,42.869,119.1081,7.585e-18,6.061e-18,2.325e-18,123.3072,-1629.55
BackDG0638,42.8848,118.9339,1.19e-17,9.963e-18,4.551e-18,49.9379,-1629.35
BackDG0639,43.4453,119.204,7.632e-18,6.725e-18,2.907e-18,60.0192,-1629.66
BackDG0640,42.9022,119.2565,9.424e-18,8.384e-18,3.72e-18,40.8715,-1629.39
BackDG0641,43.0244,119.3838,1.239e-17,1.02e-17,4.426e-18,54.7183,-1629.5
BackDG0642,43.3573,118.8829,1.059e-17,8.297e-18,3.855e-18,48.9436,-1629.32
BackDG0643,42.4302,118.9428,9.267e-18,8.886e-18,4.04e-18,49.4228,-1629.21
BackDG0644,42.5807,118.9818,1.034e-17,8.198e-18,3.765e-18,44.1647,-1629.43
BackDG0645,43.039,118.8479,1.054e-17,7.781e-18,3.707e-18,44.5795,-1629.72
BackDG0646,43.1531,119.57,1.134e-17,8.656e-18,4.108e-18,51.2752,-1629.28
BackDG0647,43.1219,119.2285,7.102e-18,6.085e-18,2.831e-18,100.071,-1629.39
BackDG0648,43.0713,118.9795,6.507e-18,5.799e-18,2.866e-18,89.9083,-1629.43
BackDG0649,42.6532,118.8351,6.427e-18,5.881e-18,2.837e-18,60.5784,-1629.41
BackDG0650,42.4205,119.297,1e-17,7.978e-18,3.841e-18,44.9443,-1628.99
BackDG0651,42.8326,119.3326,1.067e-17,9.133e-18,4.366e-18,46.5009,-1629.28
BackDG0652,42.7254,118.9395,1.045e-17,8.727e-18,4.175e-18,40.0777,-1629.55
BackDG0653,42.4993,118.9681,7.503e-18,6.538e-18,2.863e-18,44.2135,-1629.45
BackDG0654,42.9014,119.2786,1.175e-17,9.381e-18,4.362e-18,50.0318,-1629.13
BackDG0655,43.3613,119.2582,9.805e-18,8.665e-18,3.961e-18,40.2725,-1629.14
BackDG0656,43.3153,119.143,1.395e-17,1.119e-17,5.31e-18,48.4512,-1629.55
BackDG0657,43.1678,119.1553,1.213e-17,9.759e-18,4.424e-18,50.627,-1629.18
BackDG0658,42.4823,118.8584,9.821e-18,8.205e-18,3.605e-18,44.1583,-1629.54
BackDG0659,42.6115,119.3919,7.289e-18,6.175e-18,3.068e-18,46.0915,-1629.1
BackDG0660,43.164,118.9832,1.059e-17,8.973e-18,3.686e-18,46.9863,-1629.5
BackDG0661,42.7323,118.6817,9.521e-18,7.741e-18,3.871e-18,40.4445,-1629.36
BackDG0662,43.2512,118.8844,9.616e-18,8.061e-18,4.108e-18,42.5895,-1629.12
BackDG0706,354.9075,78.645,8.403e-18,6.961e-18,3.365e-18,37.5332,-1881.12
BackDG0707,354.9093,78.6991,7.32e-18,6.78e-18,2.926e-18,33.0117,-1881.03
BackDG0771,319.7422,93.2566,1.016e-17,7.887e-18,3.749e-18,53.7262,-1341.86
BackDG0781,355.8935,109.0565,4.442e-17,3.332e-17,1.167e-17,120.4902,-1328.03
BackDG0782,355.9235,109.0823,1.419e-17,1.223e-17,6.08e-18,48.1955,-1328.32
BackDG0783,355.6422,108.9543,1.826e-17,1.369e-17,6.604e-18,56.5813,-1328.37
BackDG0784,355.6008,109.1285,1.651e-17,1.553e-17,6.17e-18,55.2792,-1328.23
BackDG0785,355.9402,109.1172,1.483e-17,1.213e-17,5.608e-18,52.6026,-1328.09
BackDG0786,355.9413,109.1563,1.61e-17,1.321e-17,5.681e-18,75.3348,-1328.13
BackDG0787,355.8404,109.258,1.524e-17,1.229e-17,5.033e-18,53.8755,-1327.99
BackDG0788,356.0047,108.9457,1.583e-17,1.405e-17,6.07e-18,66.8403,-1328.13
BackDG0789,356.1516,108.8831,1.516e-17,1.169e-17,6.016e-18,50.4332,-1328.18
BackDG0790,355.8011,109.143,1.46e-17,1.174e-17,5.529e-18,51.9328,-1327.86
BackDG0791,355.8995,108.9332,1.575e-17,1.201e-17,5.914e-18,52.9702,-1327.69
BackDG0792,355.979,108.9594,1.395e-17,1.253e-17,5.764e-18,56.0709,-1328.33
BackDG0793,355.9992,109.1831,1.671e-17,1.302e-17,6.343e-18,55.2196,-1327.88
BackDG0794,355.7831,109.0382,1.483e-17,1.282e-17,5.634e-18,47.9648,-1328.0
BackDG0811,320.3984,81.4221,8.318e-18,6.412e-18,3.065e-18,54.2721,-1573.65
BackDG0940,350.983,106.8176,8.348e-18,7.211e-18,3.01e-18,72.8056,-1611.93
BackDG0941,351.0292,106.7636,1.126e-17,8.979e-18,4.117e-18,43.056,-1611.84
BackDG0942,350.9272,106.7059,1.195e-17,9.053e-18,4.68e-18,51.4463,-1612.16
BackDG0943,351.0286,106.915,1.028e-17,8.92e-18,3.649e-18,44.3666,-1612.05
BackDG0944,350.9819,106.7761,9.508e-18,8.093e-18,4.212e-18,38.3035,-1611.71
BackDG0945,351.106,106.758,1.122e-17,9.728e-18,4.365e-18,54.8306,-1611.97
BackDG0946,340.4236,77.3537,3.155e-17,2.491e-17,8.675e-18,142.8208,-1610.5
BackDG0947,340.4286,77.2295,7.641e-18,6.481e-18,2.649e-18,114.7595,-1610.49
BackDG0948,339.9752,77.333,1.11e-17,9.882e-18,4.346e-18,45.1878,-1610.63
BackDG0949,340.0671,77.2636,1.23e-17,9.639e-18,4.296e-18,50.6414,-1610.56
BackDG0950,340.5942,77.3755,6.592e-18,5.745e-18,2.628e-18,55.5113,-1610.63
BackDG0951,340.631,77.6928,1.191e-17,9.692e-18,4.39e-18,48.9194,-1610.56
BackDG0952,340.3809,77.6511,1.158e-17,8.69e-18,4.278e-18,42.3076,-1610.6
BackDG0953,340.8627,77.6881,1.153e-17,9.548e-18,4.311e-18,51.2536,-1610.41
BackDG0954,340.629,77.071,1.193e-17,9.714e-18,4.153e-18,54.9686,-1610.52
BackDG0955,340.7172,77.6195,6.757e-18,5.545e-18,2.831e-18,63.3219,-1610.66
BackDG0956,340.9501,77.4047,1.052e-17,8.515e-18,3.676e-18,36.1183,-1610.46
BackDG0957,340.7122,77.3093,1.088e-17,8.954e-18,4.471e-18,30.8513,-1610.19
BackDG0958,340.6337,77.2156,1.532e-17,1.143e-17,5.317e-18,46.7474,-1610.85
BackDG0959,340.5573,77.3834,7.137e-18,5.744e-18,2.516e-18,56.6862,-1610.58
BackDG0960,340.0174,77.3397,1.081e-17,8.474e-18,4.281e-18,40.3749,-1610.82
BackDG0961,340.4759,77.215,1.035e-17,8.663e-18,3.956e-18,45.3529,-1610.7
BackDG0962,340.4873,77.5822,1.189e-17,1.004e-17,4.392e-18,56.0314,-1610.6
BackDG0963,340.2568,77.074,9.557e-18,7.658e-18,4.132e-18,41.6164,-1610.8
BackDG0964,340.7702,77.4458,1.048e-17,8.501e-18,4.04e-18,40.4567,-1610.61
BackDG0965,340.6278,77.0733,1.125e-17,1.026e-17,4.812e-18,41.5927,-1610.2
BackDG0966,340.3851,77.2108,1.11e-17,8.771e-18,4.15e-18,48.0263,-1610.36
BackDG0967,340.0169,77.5321,1.081e-17,9.232e-18,3.805e-18,37.7519,-1610.34
BackDG0968,340.0863,77.609,1.194e-17,9.332e-18,4.294e-18,46.4631,-1610.48
BackDG0969,340.4494,77.4074,7.321e-18,6.075e-18,2.777e-18,71.8322,-1610.46
BackDG0970,340.4809,77.5118,1.131e-17,8.937e-18,3.964e-18,46.4145,-1610.38
BackDG0971,340.4703,77.0109,1.129e-17,9.161e-18,4.056e-18,54.8423,-1610.87
BackDG0972,340.1345,77.6286,9.399e-18,8.941e-18,3.941e-18,36.9132,-1610.89
BackDG0973,340.1652,77.0465,1.119e-17,8.818e-18,3.688e-18,37.2184,-1610.63
BackDG0974,340.5937,77.5008,7.359e-18,6.582e-18,3.022e-18,75.1722,-1610.81
BackDG0975,340.3881,77.7101,1.143e-17,8.055e-18,4.003e-18,47.058,-1610.7
BackDG0976,339.915,77.1069,1.123e-17,9.443e-18,3.965e-18,42.6605,-1610.58
BackDG1024,349.271,96.9508,1.182e-17,1.049e-17,4.864e-18,69.1897,-1232.67
BackDG1090,1.8905,104.3938,1.647e-17,1.522e-17,6.474e-18,55.3127,-1152.52
BackDG1091,1.8206,104.4034,1.72e-17,1.496e-17,6.381e-18,52.4815,-1152.43
BackDG1092,1.9552,104.4361,1.811e-17,1.484e-17,6.837e-18,70.2108,-1152.79
BackDG1093,1.9284,104.2993,1.858e-17,1.579e-17,7.197e-18,73.4874,-1152.52
BackDG1176,7.6154,102.908,1.545e-17,1.417e-17,6.381e-18,70.8349,-1231.56
BackDG1177,7.4878,102.8639,1.741e-17,1.35e-17,6.129e-18,70.8219,-1231.75
BackDG1178,7.6195,102.8222,1.816e-17,1.429e-17,6.537e-18,53.2427,-1231.48
BackDG1201,23.5832,48.8178,5.742e-18,4.943e-18,2.203e-18,123.7112,-1758.53
BackDG1202,23.5007,48.8581,9.394e-18,7.96e-18,3.88e-18,46.941,-1758.0
BackDG1203,23.702,48.883,8.491e-18,7.036e-18,3.115e-18,44.3162,-1758.35
BackDG1204,23.5494,48.8763,9.221e-18,7.125e-18,2.942e-18,34.3378,-1758.07
BackDG1205,23.6187,48.6892,8.997e-18,8.212e-18,3.607e-18,45.1985,-1758.21
BackDG1206,23.7513,48.7515,6.369e-18,5.844e-18,2.37e-18,43.8362,-1758.46
BackDG1207,23.4722,48.8835,8.465e-18,7.593e-18,3.284e-18,48.8406,-1758.22
BackDG1208,23.7314,48.8356,8.065e-18,6.929e-18,3.661e-18,41.1278,-1757.94
BackDG1209,23.7073,48.906,8.564e-18,7.108e-18,3.422e-18,37.6823,-1758.28
BackDG1238,3.2944,110.0807,3.607e-17,2.743e-17,9.424e-18,166.7897,-1443.02
BackDG1239,3.4353,110.1914,1.246e-17,1.035e-17,4.748e-18,47.0456,-1442.87
BackDG1240,3.3684,109.9517,1.234e-17,1.079e-17,5.365e-18,53.9809,-1443.37
BackDG1241,3.2104,110.1288,1.26e-17,1.088e-17,5.131e-18,48.69,-1443.17
BackDG1242,3.4369,110.1392,1.141e-17,1.019e-17,4.429e-18,45.7286,-1443.17
BackDG1243,3.1061,110.0684,1.198e-17,1.013e-17,3.983e-18,39.7708,-1442.98
BackDG1244,3.4385,110.2034,1.294e-17,1.004e-17,4.732e-18,41.4958,-1443.26
BackDG1245,3.1198,110.1103,1.299e-17,1.164e-17,5.135e-18,61.1839,-1443.24
BackDG1246,3.4221,110.0847,8.625e-18,7.59e-18,3.355e-18,53.3001,-1442.89
BackDG1247,3.0863,110.1317,1.151e-17,9.855e-18,4.426e-18,55.1017,-1443.33
BackDG1248,3.2507,110.0057,8.537e-18,6.795e-18,3.569e-18,50.1828,-1443.05
BackDG1304,8.7768,99.8638,1.301e-17,1.126e-17,5.346e-18,48.7574,-1308.85
BackDG1305,8.6597,99.9133,1.272e-17,1.136e-17,5.365e-18,54.3189,-1308.89
BackDG1306,8.625,99.8422,1.423e-17,1.208e-17,5.284e-18,54.3138,-1308.93
BackDG1307,8.6666,99.9518,1.405e-17,1.226e-17,5.353e-18,52.6221,-1309.07
BackDG1308,333.2916,116.4989,9.232e-18,7.434e-18,3.742e-18,58.6304,-1452.53
BackDG1309,333.3117,116.5325,1.239e-17,1.105e-17,5.007e-18,55.0041,-1452.33
BackDG1391,1.6504,95.4794,9.44e-18,7.934e-18,3.775e-18,55.2206,-1367.52
BackDG1398,35.8802,96.1832,7.724e-18,6.476e-18,2.743e-18,71.4699,-1539.41
BackDG1399,35.7824,96.1213,1.163e-17,1.051e-17,4.672e-18,52.0332,-1539.71
BackDG1400,35.8007,96.1302,1.198e-17,1.032e-17,5.069e-18,53.9481,-1539.69
BackDG1401,35.8892,96.2819,1.064e-17,8.939e-18,4.017e-18,43.1145,-1539.7
BackDG1402,35.7665,96.189,1.09e-17,8.264e-18,4.159e-18,44.5272,-1539.65
LeftDG0168,55.5695,78.9628,6.467e-18,5.824e-18,2.639e-18,91.1796,-1600.83
LeftDG0169,55.6056,79.0657,1.082e-17,8.922e-18,3.811e-18,41.5873,-1600.49
LeftDG0170,55.6938,78.9865,1.042e-17,8.566e-18,3.685e-18,40.5087,-1600.63
LeftDG0171,55.6046,78.8438,9.69e-18,7.755e-18,3.808e-18,41.9535,-1600.52
LeftDG0172,55.6882,79.0384,9.999e-18,8.512e-18,3.966e-18,36.0098,-1600.71
LeftDG0173,55.642,79.0218,1.408e-17,1.334e-17,4.875e-18,48.0013,-1600.68
LeftDG0174,55.6666,78.9588,9.963e-18,8.443e-18,3.836e-18,41.948,-1600.74
LeftDG0213,117.2506,50.4384,9.958e-18,8.719e-18,3.908e-18,67.7471,-1357.44
LeftDG0214,117.3036,50.4221,1.549e-17,1.132e-17,4.902e-18,49.6608,-1357.39
LeftDG0215,117.3112,50.4541,1.139e-17,9.649e-18,3.531e-18,80.6776,-1357.48
LeftDG0216,84.2699,52.2956,5.241e-17,3.942e-17,1.363e-17,172.694,-1121.96
LeftDG0217,84.2788,52.1746,1.317e-17,1.169e-17,4.908e-18,72.4354,-1121.54
LeftDG0218,83.9826,52.1442,2.076e-17,1.615e-17,7.628e-18,66.9114,-1122.13
LeftDG0219,83.9195,52.2698,1.987e-17,1.615e-17,6.485e-18,49.5959,-1121.83
LeftDG0220,84.0948,52.2202,1.824e-17,1.605e-17,6.866e-18,75.7907,-1121.91
LeftDG0221,84.2341,52.3506,2.807e-17,2e-17,8.255e-18,50.9015,-1121.63
LeftDG0222,84.6288,52.157,1.915e-17,1.75e-17,6.894e-18,75.4179,-1121.8
LeftDG0223,84.2534,52.5251,1.858e-17,1.463e-17,6.652e-18,59.8504,-1121.69
LeftDG0224,84.6734,52.2346,1.848e-17,1.586e-17,6.849e-18,65.0903,-1122.23
LeftDG0225,84.0272,52.0907,1.85e-17,1.607e-17,6.945e-18,51.6822,-1121.9
LeftDG0226,83.7587,52.2019,1.806e-17,1.571e-17,7.161e-18,57.6827,-1121.82
LeftDG0227,84.5902,52.1841,1.74e-17,1.493e-17,6.628e-18,56.5258,-1121.85
LeftDG0228,84.4366,52.2606,1.722e-17,1.578e-17,6.131e-18,54.5243,-1122.15
LeftDG0311,110.6524,125.5628,9.405e-18,7.761e-18,3.402e-18,63.2562,-1384.95
LeftDG0312,57.4251,53.2775,6.539e-18,5.527e-18,2.52e-18,115.5185,-1691.29
LeftDG0313,57.3246,53.4318,9.998e-18,8.111e-18,3.986e-18,48.6493,-1691.06
LeftDG0314,57.4886,53.2938,9.231e-18,9.019e-18,4.186e-18,46.0348,-1690.92
LeftDG0315,57.3581,53.3128,1.101e-17,9.185e-18,4.284e-18,51.0838,-1691.09
LeftDG0316,57.407,53.1893,9.589e-18,7.686e-18,3.711e-18,43.0146,-1691.18
LeftDG0317,57.3483,53.3189,9.564e-18,7.921e-18,3.462e-18,38.8745,-1691.34
LeftDG0318,57.481,53.1216,1.083e-17,8.19e-18,3.472e-18,36.312,-1691.44
LeftDG0319,57.3534,53.1847,9.443e-18,8.72e-18,3.847e-18,37.2492,-1690.76
LeftDG0320,57.5744,53.2982,1.014e-17,8.5e-18,3.638e-18,45.8834,-1691.31
LeftDG0411,127.0937,108.3,3.554e-17,2.94e-17,9.424e-18,141.8677,-1402.95
LeftDG0412,127.1921,108.4164,9.059e-18,7.049e-18,3.653e-18,60.1029,-1403.33
LeftDG0413,127.1027,108.3842,1.234e-17,1.049e-17,4.924e-18,47.0304,-1403.45
LeftDG0414,127.2865,108.3713,1.289e-17,1.036e-17,5.427e-18,65.0303,-1403.28
LeftDG0415,127.0154,108.3566,1.467e-17,1.097e-17,4.953e-18,65.6366,-1403.29
LeftDG0416,126.949,108.5095,1.833e-17,1.428e-17,5.751e-18,52.419,-1403.26
